street,school,loc
Francis Street A,Mill Hill School, 1-999999 010-32
Franklin Lane A,Dwight School, 1-999999 001-34
French Street A,Mill Hill School, 1-999999 010-32
Frog Pond Lane A,Dwight School, 1-999999 001-34
Fulling Mill Lane North A,Fairfield Ludlowe High School, 366-520 008-32
Fulling Mill Lane South A,Fairfield Ludlowe High School, 45-365 008-32
Galloping Hill Road E,St Pius School, 2-1498 002-34
Galloping Hill Road O,Dwight School, 1-1499 001-34
Garden Court A,Fairfield Warde High School, 1-999999 005-33
Garden Drive A,Fairfield Warde High School, 1-999999 005-33
Garden Square A,Fairfield Warde High School, 1-999999 005-33
Gate Ridge Road A,Stratfield School, 1-999999 004-33
Gate Stone Lane A,Dwight School, 1-999999 001-34
Gay Bowers Road A,Dwight School, 1-999999 001-34
Gaynos Drive A,St Pius School, 1-999999 002-34
Geneva Terrace A,Mill Hill School, 1-999999 010-32
Georgia Street A,McKinley School, 1-999999 006-33
Getty Circle A,Dwight School, 1-999999 001-34
Gilbert Highway A,Dwight School, 1-999999 001-34
Ginger Circle A,Stratfield School, 1-999999 004-33
Glen Arden Drive A,Fairfield Woods Middle School, 1-999999 003-32
Glen Arden Drive South A,Holland Hill School, 1-999999 007-33
Glen Ridge Road A,Fairfield Woods Middle School, 1-999999 003-32
Glengarry Road A,Stratfield School, 1-999999 004-33
Glover Street A,Fairfield Ludlowe High School, 1-999999 008-32
Godfrey Road E,Fairfield Woods Middle School, 240-350 003-32
Godfrey Road O,Stratfield School, 11-341 004-33
Golden Pond Lane A,Dwight School, 1-999999 001-34
Golf View Terrace A,St Pius School, 1-999999 002-34
Gorham Road A,Mill Hill School, 1-999999 010-32
Gould Avenue E,Mill Hill School, 2-198 010-32
Gould Avenue O,Sherman School, 1-199 009-32
Governors Lane A,Dwight School, 1-999999 001-34
Grace Street A,McKinley School, 1-999999 006-33
Grandview Road E,Stratfield School, 142-272 004-33
Grandview Road E,Stratfield School, 320-338 004-33
Grandview Road E,Fairfield Woods Middle School, 388-420 003-32
Grandview Road O,Stratfield School, 7-385 004-33
Granville Street A,Mill Hill School, 1-999999 010-32
Grasmere Avenue E,McKinley School, 2-598 006-33
Grasmere Avenue O,Holland Hill School, 1-55 007-33
Grasmere Avenue O,McKinley School, 57-235 006-33
Grasmere Avenue O,Holland Hill School, 237-599 007-33
Gray Rock Road A,Mill Hill School, 1-999999 010-32
Green Acre Lane A,Holland Hill School, 1-999999 007-33
Green Knolls Lane A,Fairfield Woods Middle School, 1-999999 003-32
Greenbrier Circle A,Fairfield Woods Middle School, 1-999999 003-32
Greenbrier Road A,Fairfield Woods Middle School, 200-220 003-34
Greenbrier Road E,Fairfield Woods Middle School, 58-148 003-32
Greenbrier Road O,Fairfield Woods Middle School, 17-145 003-32
Greenfield Hill Road A,Dwight School, 1-999999 001-34
Greenfield Street A,Fairfield Warde High School, 1-999999 005-33
