street,school,loc
North Benson Road E,Fairfield Woods Middle School, 1222-1812 003-32
North Benson Road E,Fairfield Woods Middle School, 1814-2340 003-34
North Benson Road E,St Pius School, 2342-2598 002-34
North Benson Road O,Fairfield Ludlowe High School, 1-599 008-32
North Benson Road O,Holland Hill School, 601-1471 007-33
North Benson Road O,Fairfield Woods Middle School, 1473-1727 003-32
North Benson Road O,St Pius School, 1729-2599 002-34
North Cedar Road A,Fairfield Ludlowe High School, 1-999999 008-32
North Pine Creek Road A,Fairfield Ludlowe High School, 1-999999 008-32
North Street E,Dwight School, 1960-3756 001-34
North Street O,Dwight School, 1475-1775 001-34
North Street O,Dwight School, 1945-9999 001-34
Northfield Road A,Mill Hill School, 1-999999 010-32
Northwood Road A,Stratfield School, 1-999999 004-33
